idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
0,19197,Wright County,-93.7347352,42.7330073,1507972841.0,1503268877.0,4703964.0,13229,11738,1274,93,69,76,13,12804,11026,1481,186,83,69,7,12737,10878,1541,72,219,27,10,12943,10107,2394,132,137,207,18,12644,10865,1584,30,53,5,0,12897,10655,1762,92,162,76,16,10143,9294,748,35,33,46,12,9375,8815,463,28,28,29,0,9265,8715,440,18,59,29,0,9733,8114,1322,75,82,147,17,9733,8114,1322,51,49,13,8,3,173,9303,8683,539,7,16,15,0,9280,8610,515,48,34,56,0,15,6521,3102,3198,6243,2867,3376,5990,1840,3868,5943,1503,4175,4955,1721,3067,4228,3246,0,5641,1838,3700,6254,1996,4136,6188,2063,3889,5692,1826,3745,5723,1770,3853,0.0,19,,,,
1,19137,Montgomery County,-95.1577896,41.0217348,1100816217.0,1098405771.0,2410446.0,10740,10265,305,53,34,81,9,10155,9533,384,189,36,107,0,10053,9423,383,105,62,118,0,10330,9603,371,70,43,203,4,10016,9335,403,113,48,171,0,10285,9474,107,153,45,352,64,8229,7964,168,18,22,54,6,7660,7455,103,4,24,69,0,7625,7380,113,14,49,67,0,8062,7591,205,37,28,157,4,8062,7591,205,25,20,18,2,7,194,7718,7334,226,16,34,78,0,7965,7490,45,42,48,278,25,35,5367,2318,2878,4835,1843,2992,5018,1296,3432,4946,1014,3658,3958,1177,2637,3123,2266,0,4663,1296,3282,5327,1583,3659,5301,1520,3633,4786,1330,3348,5074,1508,3486,0.0,19,,,,
2,19175,Union County,-94.2450907,41.0285502,1102811662.0,1097235808.0,5575854.0,12534,12029,225,128,87,94,12,12453,11730,365,81,216,71,16,12359,11618,369,82,251,51,24,12138,11223,399,216,103,200,18,12303,11524,378,42,306,56,10,12107,11292,382,199,142,102,1,9598,9316,124,64,46,49,7,9515,9170,133,43,113,53,10,9440,9100,143,39,133,33,10,9361,8740,252,135,61,146,11,9361,8740,252,86,42,18,7,10,206,9483,9040,189,3,165,29,10,9140,8860,144,36,49,52,0,8,6002,2990,2774,5917,3081,2836,5833,1884,3518,5749,1571,3886,4881,1772,2962,4116,3181,0,5499,1864,3526,6185,2061,4010,6124,2051,3820,5665,1885,3662,6013,1874,4044,0.0,19,,,,
3,19107,Keokuk County,-92.1677213,41.3311823,1502000876.0,1500056812.0,1944064.0,10511,10286,90,69,32,36,7,10200,9855,166,85,41,56,15,10188,9818,178,101,49,48,11,10033,9476,215,123,41,135,11,10163,9768,205,133,33,30,14,10026,9590,218,145,42,50,13,8069,7930,61,25,22,28,3,7835,7645,72,18,35,45,4,7800,7625,63,24,46,45,4,7654,7308,129,42,28,107,5,7654,7308,129,25,11,4,0,4,173,7729,7551,72,40,26,28,0,7675,7465,88,74,34,32,0,0,5450,2518,2712,5165,2331,2834,4989,1317,3384,4873,1004,3652,4076,1264,2708,3280,2443,0,4688,1303,3325,5303,1414,3797,5213,1489,3565,4832,1282,3465,5150,1219,3869,0.0,19,,,,
4,19169,Story County,-93.4660934,42.0375379,1485744907.0,1482882553.0,2862354.0,89542,77812,2695,2770,5991,500,70,96922,81476,3259,3270,8620,570,39,96941,81274,3348,3353,8655,490,56,98537,79944,5032,3980,7613,1395,1342,97355,81016,3487,3329,8750,549,57,98573,81336,3751,3444,8699,721,110,73589,64617,1912,1790,5032,365,55,73670,67425,1739,2029,2096,411,25,74280,67465,1876,2123,2464,364,0,82031,67274,3945,2833,6501,1030,1302,82031,67274,3945,2289,4679,175,29,247,3393,74523,67601,1939,2091,2576,324,0,77120,68655,2269,2125,3600,389,20,108,46712,26548,18995,45880,26209,19671,50695,25709,19500,49307,21454,25478,42818,25154,16537,38740,29842,0,47690,25818,19823,51038,29175,20340,50513,28216,20750,47665,26015,20276,49526,26765,21665,0.0,19,,,,
5,19131,Mitchell County,-92.7844663,43.3485643,1216486703.0,1215368212.0,1118491.0,10776,10564,110,35,43,32,6,10631,10280,146,79,53,79,0,10607,10229,157,96,49,62,0,10565,10080,193,86,87,111,22,10588,10239,163,98,62,43,0,10537,10122,186,80,109,14,0,8112,7985,63,20,28,22,5,8085,7855,87,52,39,65,0,8065,7830,60,88,38,60,0,8085,7761,116,56,62,81,17,8085,7761,116,24,36,2,0,17,129,8078,7854,81,90,30,38,0,7935,7765,66,71,30,12,0,0,5821,3175,2465,5469,2814,2655,5423,1864,3140,5362,1521,3688,4510,1681,2698,3924,2962,0,5176,1850,3243,5822,2053,3677,5802,2282,3347,5255,1832,3322,5771,1943,3736,38052.29993958164,19,,,,
6,19075,Grundy County,-92.7902437,42.4033387,1299892209.0,1299799697.0,92512.0,12453,12190,122,65,43,31,8,12341,11976,155,80,65,56,20,12296,11920,158,87,69,53,23,12329,11791,145,108,82,126,10,12262,11858,164,101,74,39,32,12351,11782,218,135,71,54,0,9488,9382,50,17,22,18,2,9435,9260,68,14,18,44,0,9445,9235,97,20,22,40,0,9393,9064,82,32,52,91,5,9393,9064,82,17,24,6,0,14,186,9350,9152,71,12,23,27,0,9350,9165,83,20,30,43,0,0,6902,2790,3945,6858,2630,4228,6848,1826,4528,6851,1350,5232,5747,1832,3806,4628,3517,0,6544,1876,4539,7276,2206,4929,7217,2120,4900,6685,1909,4648,7146,2019,4998,0.0,19,,,,
7,19191,Winneshiek County,-91.850788,43.2929889,1787412346.0,1786666617.0,745729.0,21056,20153,418,184,275,54,10,20401,19415,446,226,277,40,0,20262,19251,455,366,149,23,4,20070,18705,585,221,274,190,23,20090,19072,463,251,214,79,24,20050,18947,486,184,258,163,7,16759,16139,253,131,211,35,7,16305,15865,201,154,54,34,0,16265,15750,208,209,78,24,0,16206,15246,381,149,204,137,17,16206,15246,381,91,145,12,12,32,287,16155,15658,215,127,104,43,0,16090,15580,178,104,115,94,0,35,11370,6829,4273,10895,6258,4637,11345,5239,5352,11211,4418,6325,9865,4764,4842,8911,7203,0,10908,5064,5590,12064,5617,6235,11960,5581,6039,11161,5069,5842,11979,5321,6427,37951.26134210436,19,,,,
8,19153,Polk County,-93.568971,41.6848158,1532067173.0,1481988336.0,50078837.0,430640,347710,32647,30929,17817,3474,601,474274,370282,39086,39015,25257,4249,845,479627,372732,40165,40284,26024,4226,868,492401,362260,48055,44015,29178,8740,832,485418,373665,41226,41750,27532,4034,779,493378,372677,43942,44304,29032,5022,439,320715,269979,19054,18209,12002,2221,376,333660,287795,14088,19454,10060,1851,214,337890,290250,14723,20228,10596,1760,190,371655,288392,29626,26679,19683,6178,526,371655,288392,29626,22959,17508,852,200,1209,10909,343359,293000,15640,20613,11688,1710,206,350715,295740,17878,22371,12490,1622,45,799,214580,120984,89668,224488,128459,96029,231553,119750,93406,228323,100332,118112,206908,120243,82424,186460,146440,0,231162,124840,98246,258755,146250,106800,256257,142328,106443,235312,128258,101502,256838,140075,112240,0.0,19,,,,
9,19161,Sac County,-95.1052244,42.3875259,1497869639.0,1489300203.0,8569436.0,10350,10031,195,56,34,40,8,9868,9399,283,84,18,76,0,9801,9299,308,104,58,31,0,9814,9161,354,100,63,96,23,9711,9177,337,103,55,39,0,9778,9160,379,55,86,47,42,8025,7853,105,20,21,25,6,7600,7375,87,67,20,49,0,7525,7310,91,50,38,34,0,7614,7220,205,57,36,71,17,7614,7220,205,32,25,11,0,13,108,7471,7239,104,41,6,45,0,7435,7235,92,28,39,31,0,4,5128,2237,2699,5210,2122,3088,5190,1234,3729,5131,963,3930,4343,1193,2995,3453,2762,0,4936,1254,3608,5535,1389,4061,5485,1440,3849,5056,1274,3689,5460,1289,4100,0.0,19,,,,
