idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
0,17063,Grundy County,-88.4010545,41.2924096,1115072278.0,1082940544.0,32131734.0,50102,44562,4098,815,501,276,25,50509,43702,4877,1064,583,213,23,50672,43722,5019,1146,662,211,26,52533,43472,5712,1295,769,1132,69,50798,43546,5178,1215,791,185,19,52624,44264,5751,1398,769,199,0,36433,33214,2367,413,299,197,19,37015,33240,2757,594,235,151,15,36995,33250,2728,585,209,161,20,39383,33682,3506,736,523,762,40,39383,33682,3506,579,365,40,10,83,1118,37189,33266,2815,618,200,144,13,38940,34180,3419,850,327,177,0,19,22324,11073,10699,20804,9454,11350,23237,8065,13454,22853,9475,11624,19308,7319,10184,19084,7312,11100,22831,8563,12984,26690,9626,16523,26299,9766,15005,22256,8224,13229,19370,7685,11266,19409,6966,11733,19291,7315,11541,19371,7316,11625,19119,6933,11679,19278,7930,10920,19079,6961,12118,0.0,17,,,,
1,17109,McDonough County,-90.6789543,40.4558082,1528352155.0,1526339603.0,2012552.0,32612,28979,867,1894,732,257,18,30875,27213,835,1835,816,199,61,30479,26782,844,1863,844,200,4,27238,23062,962,1912,720,591,47,30107,26341,860,1971,834,248,4,27370,23729,824,1735,767,197,11,27369,24482,692,1464,603,207,16,24990,22505,585,1422,343,136,0,24670,22185,598,1362,409,132,0,22289,19105,740,1377,592,450,31,22289,19105,740,1200,494,37,6,59,648,24557,22001,616,1390,450,132,0,22315,19935,537,1242,473,126,4,4,13202,6783,6055,12109,5932,6177,13092,5288,6795,12911,6254,5917,10156,4196,4798,10031,3809,5937,11637,4885,6190,12285,4992,7027,12148,5090,6674,10840,4252,6269,9390,3793,5434,9467,3269,5945,9369,3216,5911,9374,3137,5992,9338,3331,5768,9390,3658,5546,9313,3406,5906,0.0,17,,,,
2,17127,Massac County,-88.7056578,37.216119,627002944.0,614217978.0,12784966.0,15429,13860,290,1101,74,143,7,14430,12765,404,1099,108,66,0,14219,12547,419,1027,118,123,0,14169,12077,333,1212,98,341,17,14041,12282,426,946,117,124,109,14135,12189,454,1093,73,128,95,11911,10895,147,731,52,105,5,11210,10120,269,758,47,38,0,10925,9940,184,697,37,48,0,10953,9594,198,763,69,252,14,10953,9594,198,658,33,29,4,27,410,10849,9822,201,632,46,77,0,10980,9865,184,757,55,98,0,35,7242,2693,4371,6354,2081,4273,6683,1558,4846,6532,2461,3739,5352,1527,3363,5236,1317,3781,6184,1728,4253,6813,1725,4997,6710,1857,4712,5739,1413,4217,4862,1317,3474,4884,1047,3734,4837,1079,3662,4837,1099,3637,4821,1129,3598,4842,1315,3469,4839,1105,3734,45442.008847088,17,,,,
3,17073,Henry County,-90.1308378,41.3500209,2138524068.0,2131719192.0,6804876.0,50486,46493,2402,1103,285,314,22,49464,44823,2773,1440,374,244,0,49260,44549,2808,1267,382,234,7,49284,43094,3170,1636,397,805,50,49032,44176,2868,1347,392,251,10,49157,43510,3067,1447,420,505,29,38391,36125,1345,576,164,217,13,37840,35400,1350,659,151,219,0,37690,35255,1345,711,170,185,0,38047,34159,1950,934,236,589,28,38047,34159,1950,729,145,47,5,61,951,37760,35086,1560,753,197,160,0,38080,35145,1749,823,223,164,0,0,24963,13181,11263,23942,12379,11563,24643,8871,13985,24048,9488,13214,19323,6997,10794,19277,7119,11627,22906,8667,13258,25635,9797,15300,25276,10004,14555,22162,8151,13341,19661,7430,11833,19726,6949,12155,19461,6355,12549,19616,6469,12650,19535,6943,12087,19538,7299,11828,19541,6787,12741,0.0,17,,,,
4,17061,Greene County,-90.3876823,39.3554391,1414888807.0,1406464909.0,8423898.0,13886,13517,115,147,26,76,3,13218,12746,86,216,36,142,0,13132,12635,159,220,36,83,7,11985,11451,106,78,53,238,10,12988,12506,156,247,20,69,4,12015,11589,158,133,25,83,4,10688,10420,79,117,13,60,2,10395,10010,49,210,25,114,0,10360,9945,120,205,25,84,0,9311,8954,63,28,33,178,10,9311,8954,63,15,15,13,3,14,234,10223,9835,138,202,14,63,0,9410,9130,97,109,23,82,0,8,5910,2618,3053,5452,2010,3442,5585,1205,4145,5414,2023,3064,4366,1026,1844,4170,1127,2897,5123,1356,3475,6227,1349,4770,6053,1702,4169,5116,1161,3840,4523,1144,3297,4591,951,3550,4470,893,3458,4505,933,3466,4464,962,3397,4479,1157,3232,4465,974,3491,0.0,17,,,,
5,17157,Randolph County,-89.8212096,38.0565149,1546344318.0,1490194098.0,56150220.0,33476,28933,867,3404,137,185,21,32546,27666,996,3504,203,155,63,32296,27403,1014,3494,209,155,55,30163,25460,1031,2697,180,564,29,31973,27063,1032,3551,226,160,12,30413,26285,965,2765,237,208,18,26845,22988,699,2954,100,143,14,25965,22085,563,3092,76,101,0,25775,21910,570,3092,74,116,0,24201,20534,721,2205,141,422,22,24201,20534,721,2107,76,40,5,37,681,25492,21551,591,3106,92,120,0,23895,21015,420,2290,38,139,15,8,15350,7385,7530,14065,5756,8309,14194,3439,10023,13997,6119,7364,12165,4955,5939,11857,4152,7299,13534,4440,8572,14891,3592,11076,14671,4645,9741,12798,3456,9044,11363,3527,7611,11450,2999,8092,11247,2860,8112,11288,2905,8154,11228,3031,7962,11342,3515,7648,11403,2855,8543,77483.25797650598,17,,,,
6,17149,Pike County,-90.8890344,39.6251059,2198442254.0,2153190724.0,45251530.0,16429,15801,172,306,45,96,13,15753,15096,195,321,65,88,1,15672,15021,202,296,72,91,1,14739,13874,262,135,70,302,16,15571,14865,203,181,68,83,108,14776,14114,223,138,65,80,90,12717,12227,112,267,32,72,8,12179,11729,137,209,45,59,0,12075,11660,152,177,48,64,0,11391,10796,158,84,51,224,14,11391,10796,158,51,36,26,6,15,303,12063,11563,142,128,46,65,95,11365,10955,129,110,32,83,80,0,7736,3024,4457,7139,2264,4875,7530,1413,5754,7373,2654,4377,6547,1232,2633,6266,1340,4688,7002,1562,4938,7949,1484,6332,7815,1837,5785,6724,1279,5319,6029,1308,4611,5948,975,4968,5985,1027,4790,5890,1040,4847,5959,1159,4662,5999,1345,4526,5987,1086,4901,58796.461304972516,17,,,,
7,17203,Woodford County,-89.2105871,40.789787,1405299184.0,1366337053.0,38962131.0,38664,37294,527,333,299,214,17,38817,37095,695,479,385,190,0,38700,36957,707,509,409,183,0,38467,35844,740,598,399,685,32,38503,36737,721,557,378,182,0,38414,36357,740,600,428,173,0,28674,27948,270,129,168,153,13,29200,28260,420,146,253,106,0,29200,28195,421,234,230,126,0,28999,27416,409,298,256,483,26,28999,27416,409,177,173,34,10,61,719,29031,27941,442,230,213,150,0,29020,27915,470,279,249,147,0,0,19611,6999,12191,18487,5511,12976,19864,5092,13207,19606,5083,13291,16100,4097,10457,16220,4098,11695,18957,5104,12933,21432,6160,14799,21137,6276,14174,18678,5048,13044,16886,4752,11808,16994,4341,12260,16799,4037,12367,16905,3740,12849,16800,4404,12060,16840,4505,12029,16889,3835,13054,0.0,17,,,,
8,17145,Perry County,-89.3685249,38.0843809,1157786319.0,1144587283.0,13199036.0,22350,19463,599,2065,118,136,24,21384,18359,657,2124,148,103,2,21250,18230,662,2132,154,100,1,20945,17779,714,1904,172,373,28,21092,18099,666,2082,145,102,1,20996,18066,668,1985,156,102,1,17717,15310,487,1754,82,101,13,17185,14690,475,1863,85,104,0,17085,14555,457,1884,110,105,0,16873,14254,541,1653,126,263,15,16873,14254,541,1545,99,31,0,26,377,16904,14437,446,1827,108,102,0,16785,14475,437,1714,95,105,0,8,10066,4701,5086,9293,3783,5510,9853,2462,6855,9654,4279,4925,8474,3077,4309,8371,2457,4898,9267,2987,5780,10053,2612,7313,9901,3268,6417,8798,2410,6193,7770,2433,5205,7834,1828,5804,7712,1968,5577,7752,1980,5612,7699,2014,5507,7758,2636,5014,7820,1830,5988,0.0,17,,,,
9,17087,Johnson County,-88.8821305,37.4607092,903088041.0,890269489.0,12818552.0,12582,11056,376,1027,44,103,3,12602,10647,403,1494,59,23,0,12494,10618,395,1423,60,22,0,13308,10895,552,1515,46,235,10,12391,10597,382,1315,58,57,1,13313,10849,537,1664,82,104,24,10141,8769,288,993,33,78,3,10135,8420,196,1469,34,20,0,10090,8410,234,1389,30,16,0,10998,8783,501,1447,31,192,8,10998,8783,501,1406,18,20,4,1,265,10017,8406,236,1275,36,51,0,10505,8885,354,1155,50,75,0,0,5947,1871,3912,5499,1546,3953,6089,1142,4649,5942,2056,3572,5187,1427,3013,5082,1165,3769,5788,1409,4120,6437,1281,5059,6333,1559,4626,5488,1093,4276,4813,1052,3690,4841,868,3878,4788,844,3847,4819,867,3866,4768,879,3803,4799,1129,3598,4825,815,4010,0.0,17,,,,
