idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
0,17031510300,5103,-87.5749771,41.7157373,2958348.0,2958348.0,0.0,5360,27,55,5288,13,26,5,5126,18,22,5086,0,0,0,4817,15,34,4768,0,0,0,4850,16,94,4731,14,59,1,4805,36,0,4769,0,0,0,4640,34,0,4606,0,0,0,3998,22,38,3940,10,18,3,3940,4,20,3910,0,0,0,3700,15,35,3650,0,0,0,3849,8,60,3771,8,50,1,3849,8,60,3665,0,8,0,12,96,3551,34,0,3514,0,0,0,3785,39,0,3750,0,0,0,0,3407,3376,21,3009,2996,13,2720,2623,40,2671,2531,83,2081,1973,51,2092,1993,76,2390,2224,48,2446,2363,60,2432,1895,20,1996,1860,34,1469,1432,24,1470,1413,42,1467,1413,37,1473,1405,48,1451,1382,42,1468,1417,39,1445,1401,44,0.0,17,17031,,,
1,17031520100,5201,-87.5294325,41.7211184,3103579.0,2581898.0,521681.0,2035,141,1707,208,2,51,4,1810,125,1612,184,0,60,0,2001,159,1763,163,0,47,0,1745,154,1437,160,15,109,8,2219,212,2007,134,3,38,0,2062,121,1932,81,3,85,0,1313,135,1069,114,2,28,2,845,120,670,55,0,0,0,1090,130,900,60,0,0,0,1264,132,1029,105,6,82,7,1264,132,1029,83,1,1,2,4,12,1145,188,954,0,0,0,0,1060,100,950,0,0,0,0,10,411,336,71,379,336,43,454,395,47,446,361,63,313,277,27,314,248,56,397,333,52,447,367,75,432,345,50,321,265,49,210,162,47,211,161,47,207,155,47,209,163,46,208,157,45,211,170,39,207,158,49,3613.4809885580216,17,17031,,,
2,17097863006,8630.06,-87.8538353,42.300341,207264.0,207264.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,377,196,242,65,19,11,0,0,0,0,0,0,0,337,178,99,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888,374,192,241,65,15,9,888,374,192,218,50,6,7,11,30,0,0,0,0,0,0,0,315,180,100,40,0,0,0,0,118,91,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,10,119,85,30,113,72,29,46,31,12,16,11,5,17,10,6,16,10,5,16,9,6,16,10,5,16,10,5,16,10,6,0.0,17,17097,,,
3,17097863004,8630.04,-87.8642654,42.3046642,4440910.0,4440910.0,0.0,4578,2154,687,1285,514,58,96,4468,2363,479,763,798,39,106,4680,2405,526,893,818,11,120,3613,1594,572,952,491,74,35,5097,2208,841,1180,800,14,161,4968,2329,782,1180,726,51,59,3203,1623,390,800,396,45,85,3235,1905,215,535,500,30,30,3435,2050,240,555,510,0,50,2600,1209,356,597,397,50,26,2600,1209,356,505,354,7,13,13,143,3749,1993,503,600,542,0,80,3595,2010,480,560,460,19,0,60,547,440,93,502,379,123,566,415,109,552,391,130,365,285,63,363,277,75,473,350,99,525,396,117,508,337,115,380,283,79,249,183,60,246,178,60,246,182,58,246,180,61,246,171,64,244,183,54,243,185,58,0.0,17,17097,,,
4,17097866200,8662,-87.9107093,42.2360556,33301890.0,32717452.0,584438.0,6001,5283,204,72,431,12,11,5820,4529,381,195,715,0,0,5920,4358,498,189,862,23,0,6162,4890,285,119,785,30,6,6474,5045,472,99,855,17,0,6256,5393,181,85,555,21,0,4606,4138,119,50,293,8,4,4495,3680,195,145,479,0,0,4605,3560,240,140,634,25,0,5029,4142,183,96,544,24,6,5029,4142,183,78,517,7,0,13,89,5107,4220,229,57,586,13,0,5165,4635,90,55,369,20,0,0,3457,1647,1766,3482,1453,2029,3414,1729,1393,3426,1322,1979,3072,1230,1743,3067,1335,1680,3424,1612,1696,3821,2165,1590,3827,1910,1817,3261,1749,1405,2865,1582,1240,2856,1595,1153,2850,1539,1252,2842,1550,1236,2834,1483,1294,2848,1542,1256,2855,1649,1206,0.0,17,17097,,,
5,17031590700,5907,-87.6627888,41.8260539,882444.0,869830.0,12614.0,3100,446,2294,56,321,31,1,3393,418,2341,71,533,151,0,3276,313,2248,86,661,10,0,3027,331,1941,111,653,130,4,3064,307,2158,56,571,13,0,2914,347,2016,25,490,22,0,2131,381,1463,38,261,25,1,1770,375,1050,30,280,35,0,1675,280,1010,40,345,4,0,2282,299,1404,69,514,95,4,2282,299,1404,37,499,2,0,5,36,1920,276,1291,29,319,4,0,1975,345,1295,25,300,4,0,0,734,606,110,596,510,86,829,660,120,804,614,132,623,503,80,624,493,110,766,609,116,881,696,167,867,688,105,658,511,119,455,350,98,462,346,106,457,328,109,453,342,96,451,330,103,459,357,90,456,341,89,0.0,17,17031,,,
6,17031600400,6004,-87.6439322,41.8417183,327229.0,327229.0,0.0,3891,1041,579,55,2220,25,7,4413,924,661,66,2782,0,0,4188,989,452,137,2610,0,0,4297,939,539,80,2751,47,6,3736,1189,146,234,2167,0,0,3963,1224,244,271,2220,37,0,3119,906,391,51,1772,16,4,2785,845,365,65,1510,0,0,2705,865,245,140,1460,0,0,3481,854,402,63,2161,29,6,3481,854,402,43,2141,0,0,2,39,2565,1039,106,232,1168,0,0,2375,970,190,270,950,0,0,0,1016,681,316,986,730,256,1066,709,310,966,662,244,807,562,215,780,539,219,981,657,275,1156,747,380,1101,724,269,871,563,270,638,418,206,644,409,217,630,379,229,639,417,200,624,401,203,628,425,185,454,454,0,0.0,17,17031,,,
7,17019011100,111,-88.213607,40.114106,1078213.0,1071560.0,6653.0,2785,1351,124,137,1169,10,4,2398,1037,189,207,891,55,74,2440,1000,184,207,970,75,79,2161,791,155,140,1049,34,7,2268,1118,151,127,880,11,0,2106,1064,105,51,863,29,39,2723,1312,120,128,1157,9,4,1520,965,125,180,185,25,75,1545,930,135,160,239,30,80,2073,753,151,134,1011,26,7,2073,753,151,119,969,5,1,2,73,1579,1063,131,116,256,0,0,1450,1025,69,40,300,0,0,15,691,582,82,448,380,68,713,572,61,683,533,91,607,514,69,613,519,79,653,546,68,651,569,50,643,545,58,527,454,46,394,347,38,392,343,37,387,338,40,384,337,42,383,339,39,387,338,38,389,349,39,0.0,17,17019,,,
8,17105960700,9607,-88.6415491,40.8666809,12690819.0,12690819.0,0.0,5308,3911,305,1032,53,28,4,5352,3788,380,1088,113,66,0,5182,3720,369,1022,127,23,0,4755,3427,399,816,56,58,4,5155,3799,322,922,153,15,0,4691,3546,308,786,67,8,0,4546,3246,264,995,41,23,3,4550,3110,315,1015,90,50,0,4385,3010,305,935,110,15,0,4095,2911,345,772,46,29,1,4095,2911,345,740,39,2,0,9,49,4265,3034,261,854,115,10,0,3985,2965,220,740,55,10,0,0,1788,687,1069,1698,575,1123,1622,471,1030,1600,451,1056,1311,417,741,1314,388,882,1568,487,1000,1855,610,1191,1819,607,1130,1530,489,988,1308,449,833,1319,431,847,1301,380,890,1314,291,995,1302,386,886,1300,425,848,1284,379,905,0.0,17,17105,,,
9,17105960100,9601,-88.4274431,41.0944552,6505878.0,6505878.0,0.0,4247,4017,143,56,24,20,0,4092,3876,124,92,0,0,0,4049,3842,139,67,0,0,0,4012,3602,179,69,33,99,5,3817,3396,272,105,0,0,0,3814,3313,351,105,0,4,0,3264,3138,79,33,18,15,0,3285,3160,65,60,0,0,0,3245,3120,80,50,0,0,0,3184,2913,110,31,21,75,5,3184,2913,110,21,14,0,0,10,116,2937,2747,147,47,0,0,0,2885,2730,110,44,0,4,0,0,1799,858,904,1622,739,883,1775,602,1036,1760,580,1027,1397,493,761,1406,505,850,1701,584,1012,1952,632,1265,1933,674,1139,1658,554,1038,1443,520,890,1464,470,940,1440,446,958,1447,419,998,1444,455,941,1450,519,898,1423,436,987,0.0,17,17105,,,
