idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
0,18089030700,307,-87.4500178,41.6237794,5118948.0,4978681.0,140267.0,2064,142,850,1126,6,28,2,2073,183,866,1145,0,32,0,1911,181,703,1038,0,29,0,1932,94,897,978,8,39,2,1779,161,531,1096,0,31,0,1853,72,671,1106,0,30,0,1528,130,586,819,3,18,2,1595,185,635,764,0,12,0,1565,180,615,759,0,12,0,1439,82,661,706,5,28,1,1439,82,661,669,4,2,0,0,21,1385,165,439,769,0,12,0,1310,70,390,849,0,0,0,0,1010,937,68,856,807,49,773,709,49,757,697,45,750,694,47,754,701,53,608,568,35,721,666,49,742,673,68,741,646,87,727,667,60,0.0,18,18089,,,
1,18089030800,308,-87.4513593,41.640085,941893.0,941893.0,0.0,4272,218,2507,1684,11,48,4,4702,112,3294,1391,0,0,0,4788,112,3579,1189,9,0,0,3932,170,2244,1604,25,86,10,4435,175,2865,1411,18,0,0,4314,249,2534,1588,29,20,0,3094,199,1827,1122,6,34,1,2930,80,1920,930,0,0,0,3050,70,2205,780,0,0,0,2899,151,1707,1060,16,58,10,2899,151,1707,992,6,7,0,12,24,3049,134,1774,1144,0,0,0,2955,230,1730,1000,4,0,0,0,1715,1568,139,1505,1419,86,1493,1354,92,1439,1330,74,1447,1342,79,1441,1356,85,1084,1014,61,1346,1231,97,1332,1180,144,1324,1134,168,1303,1177,126,0.0,18,18089,,,
2,18089030900,309,-87.4412385,41.6360181,1945376.0,1945376.0,0.0,3570,180,1668,1780,8,20,1,3473,289,1602,1600,0,0,0,3758,269,1933,1575,0,25,0,3647,184,1623,1904,14,52,0,3661,244,2228,1209,0,26,0,3374,145,2139,1090,0,32,0,2674,165,1226,1299,7,15,1,2470,265,955,1255,0,0,0,2395,270,950,1175,0,0,0,2637,153,1167,1335,12,44,0,2637,153,1167,1274,9,3,0,1,30,2453,245,1299,927,0,0,0,2455,145,1520,790,0,0,0,0,1662,1534,120,1540,1450,90,1433,1309,88,1359,1245,76,1362,1275,69,1370,1301,69,1068,1008,51,1260,1167,81,1222,1096,112,1199,1039,143,1176,1072,104,0.0,18,18089,,,
3,18003003100,31,-85.1321766,41.0409018,1647995.0,1647995.0,0.0,2645,999,534,1086,43,41,2,3106,1059,839,1146,104,0,0,2849,1105,574,1087,123,0,0,3076,776,938,991,346,73,2,3153,1524,597,847,210,7,0,2926,1312,561,993,50,84,0,1761,803,302,627,23,25,2,1680,855,160,665,4,0,0,1785,920,205,629,30,0,0,2038,640,551,623,200,61,1,2038,640,551,567,186,4,0,17,73,2058,1307,168,543,44,0,0,1920,1150,225,520,20,4,0,0,947,730,201,817,610,207,700,489,174,693,489,164,688,505,167,688,468,220,568,416,130,673,491,163,727,534,174,716,446,209,702,522,180,0.0,18,18003,,,
4,18089042401,424.01,-87.3694392,41.5142475,7366550.0,7312127.0,54423.0,6444,1785,782,3879,77,46,6,6250,1589,825,3921,145,0,0,6292,1473,840,3993,129,79,0,6334,1309,945,4107,84,123,3,6640,1867,989,3712,107,81,0,6209,1532,971,3723,0,310,0,4622,1547,506,2542,51,30,2,4610,1390,520,2680,20,0,0,4360,1210,465,2680,0,60,0,4790,1142,627,2968,58,94,1,4790,1142,627,2823,45,1,0,14,138,4781,1617,657,2521,0,67,0,4535,1410,565,2505,0,165,0,0,2938,2440,482,2776,2366,410,2651,2090,452,2596,2115,395,2616,2179,383,2561,2160,401,2163,1832,299,2558,2108,407,2725,2222,476,2710,2133,514,2674,2211,463,0.0,18,18089,,,
5,18089042403,424.03,-87.331379,41.511253,5823411.0,5823411.0,0.0,4189,978,411,2801,39,38,0,3933,928,524,2500,9,113,20,3898,836,462,2487,38,103,25,4399,711,535,3109,52,107,2,3976,796,385,2678,42,93,22,4267,680,487,3216,57,90,30,3135,868,257,1986,33,25,0,3060,845,335,1810,0,75,0,3055,790,365,1800,30,70,0,3255,611,344,2252,25,68,2,3255,611,344,2167,19,10,0,10,94,3178,760,336,1977,40,55,0,3275,650,370,2170,35,54,0,20,2098,1789,294,1910,1690,220,1854,1572,237,1806,1566,198,1814,1607,184,1802,1593,209,1501,1309,173,1765,1511,232,1840,1519,307,1825,1460,326,1803,1499,304,0.0,18,18089,,,
6,18089042501,425.01,-87.3788551,41.4787791,3695929.0,3695929.0,0.0,6217,3024,1046,2073,151,47,7,6427,2490,1375,2861,29,17,20,6482,2535,1723,2496,31,14,47,6332,2190,1248,2778,131,196,12,6437,2693,1834,2134,31,8,46,6595,2404,2232,2286,34,0,53,4321,2432,627,1176,92,27,4,4180,2075,565,1490,10,15,0,4170,2060,725,1335,10,15,0,4628,1870,794,1811,94,133,10,4628,1870,794,1698,67,10,0,15,174,3937,1953,801,1143,9,10,0,4205,1765,1140,1265,0,0,0,35,2366,1607,739,2322,1618,704,2339,1472,745,2292,1524,665,2295,1594,643,2258,1592,666,1845,1342,474,2290,1553,683,2541,1702,799,2525,1566,847,2472,1688,784,0.0,18,18089,,,
7,18089042503,425.03,-87.3441596,41.4784486,5636114.0,5636114.0,0.0,3132,1473,399,1220,59,24,0,3065,1316,318,1419,0,21,0,3013,1341,305,1331,0,26,0,3296,1101,503,1655,53,69,4,3206,1133,343,1634,0,24,0,3187,1068,428,1614,0,8,0,2495,1324,283,852,40,16,0,2395,1110,210,1050,0,20,0,2360,1080,205,1050,0,25,0,2676,1014,351,1257,41,53,4,2676,1014,351,1190,32,0,4,16,69,2588,1052,244,1264,0,24,0,2610,1050,320,1235,0,10,0,0,1411,1037,364,1407,1097,310,1442,1088,300,1414,1090,282,1414,1135,254,1396,1112,284,1300,1052,225,1449,1120,303,1580,1191,371,1570,1113,405,1542,1169,373,0.0,18,18089,,,
8,18003003304,33.04,-85.135346,41.1204408,4721412.0,4721412.0,0.0,4295,2796,526,611,355,44,13,3890,2345,367,614,534,44,0,4154,2458,454,752,442,63,0,4143,2265,503,803,526,124,9,4145,2459,280,810,542,69,0,4150,2370,303,717,714,46,0,3258,2297,326,393,227,32,8,2635,1850,110,405,220,45,0,2680,1800,200,500,115,65,0,3155,1899,320,517,358,100,7,3155,1899,320,442,331,17,0,10,136,2738,1851,133,563,118,70,0,2720,1955,150,425,155,38,0,0,1183,658,506,1064,536,528,1192,548,550,1181,584,508,1165,593,527,1147,533,614,860,438,384,1135,568,517,1229,640,561,1221,491,596,1206,619,587,0.0,18,18003,,,
9,18003003500,35,-85.0983403,41.0965666,2599483.0,2599483.0,0.0,4216,2858,149,833,370,29,10,4061,2605,82,961,395,40,0,4248,2724,68,1065,399,19,0,4229,2338,217,1115,510,58,4,4433,2745,113,1149,403,18,0,4376,2249,40,1245,718,62,7,3136,2369,76,443,236,20,8,2950,2145,55,648,70,35,0,3140,2285,45,704,85,20,0,3238,2000,134,702,356,47,4,3238,2000,134,634,341,6,3,10,110,3305,2479,79,640,87,3,0,3225,2225,25,675,255,39,4,15,1344,715,614,1386,706,680,1349,640,598,1344,692,560,1325,685,585,1293,590,703,1117,604,456,1327,699,565,1441,818,584,1412,620,679,1387,767,620,0.0,18,18003,,,
